ID,Time,Item Name,Location,Coordinates
27833,12:00 AM/PM,Broad Beans,Il Mheg,"(x24,y36)"
27828,12:00 AM/PM,Mist Spinach,The Rak'tika Greatwood,"(x34,y21)"
33007,2:00 AM/PM,Rarefied Amber Cloves,Amh Araeng,"(x19,y20)"
33005,2:00 AM/PM,Rarefied Sandteak Log,Amh Araeng,"(x19,y20)"
33008,4:00 AM/PM,Rarefied Coral,The Tempest,"(x37,y12)"
33006,4:00 AM/PM,Rarefied Kelp,The Tempest,"(x37,y12)"
27835,6:00 AM/PM,Lemonette,Kholusia,"(x20,y27)"
33003,8:00 AM/PM,Rarefied White Oak Log,Kholusia,"(x28,y33)"
27822,8:00 AM/PM,Russet Popoto,Amh Araeng,"(x19,y16)"
27836,10:00 AM/PM,Peppermint,Lakeland,"(x26,y20)"
33002,10:00 AM/PM,Rarefied Pixie Apple,Il Mheg,"(x4,y23)"
33004,10:00 AM/PM,Rarefied Miracle Apple Log,Il Mheg,"(x4,y23)"
33009,12:00 AM/PM,Rarefied Urunday Log,The Peaks,"(x31,y7)"
33001,12:00 AM/PM,Rarefied Pine Log,Yanxia,"(x19,y14)"
33000,12:00 AM/PM,Rarefied Pine Resin,Yanxia,"(x19,y14)"
19852,2:00 AM/PM,Othardian Plum,The Azim Steppe,"(x23,y16)"
32997,2:00 AM/PM,Rarefied Larch Log,The Ruby Sea,"(x6,y16)"
32999,2:00 AM/PM,Rarefied Larch Sap,The Ruby Sea,"(x6,y16)"
19857,4:00 AM/PM,Jhammel Ginger,The Lochs,"(x8,y8)"
32998,4:00 AM/PM,Rarefied Shiitake Mushroom,The Ruby Sea,"(x33,y9)"
19918,6:00 AM/PM,Hallowed Basil,The Peaks,"(x23,y16)"
19865,8:00 AM/PM,Lotus Root,Yanxia,"(x28,y7)"
19860,10:00 AM/PM,Bamboo Shoot,Yanxia,"(x28,y25)"
32995,12:00 AM/PM,Rarefied Dark Chestnut,The Dravanian Forelands,"(x16,y36)"
32996,12:00 AM/PM,Rarefied Dark Chestnut Resin,The Dravanian Forelands,"(x16,y36)"
12943,12:00 AM/PM,Dravanian Mistletoe,The Churning Mists,"(x24,y6)"
12899,12:00 AM/PM,Porcini,The Churning Mists,"(x24,y6)"
13765,2:00 AM/PM,Old World Fig Seeds,The Dravanian Forelands,"(x26,y12)"
12896,2:00 AM/PM,Old World Fig,The Dravanian Forelands,"(x26,y12)"
12897,4:00 AM/PM,Cloud Banana,The Dravanian Hinterlands,"(x19,y36)"
12898,4:00 AM/PM,Morel,The Dravanian Hinterlands,"(x19,y36)"
12889,6:00 AM/PM,Heavens Lemon,The Sea of Clouds,"(x35,y23)"
12944,6:00 AM/PM,Abalathian Mistletoe,The Sea of Clouds,"(x35,y23)"
12900,8:00 AM/PM,Chysahl Greens,Coerthas Western Highlands,"(x8,y9)"
12884,10:00 AM/PM,Chives,Coerthas Western Highlands,"(x31,y20)"
13767,10:00 AM/PM,Pearl Sprout Seeds,Coerthas Western Highlands,"(x31,y20)"
13768,10:00 AM/PM,Coerthan Tea Seeds,Coerthas Western Highlands,"(x31,y20)"
12877,10:00 AM/PM,Pearl Sprouts,Coerthas Western Highlands,"(x31,y20)"
12882,10:00 AM/PM,Coerthan Tea Leaves,Coerthas Western Highlands,"(x31,y20)"
32994,10:00 AM/PM,Rarefied Dark Chestnut Branch,The Dravanian Forelands,"(x29,y30)"
32993,10:00 AM/PM,Rarefied Dark Chestnut Log,The Dravanian Forelands,"(x29,y30)"
32992,10:00 AM/PM,Rarefied Dark Chestnut Sap,The Dravanian Forelands,"(x29,y30)"
5350,1:00 AM,Silkworm Cocoon,East Shroud,"(x22,y26)"
7611,2:00 AM,Fragrant Log,South Shroud,"(x18,y23)"
7591,2:00 AM,Shroud Tea Leaves,Central Shroud,"(x16,y20)"
7590,3:00 AM,Scarlet Sap,North Shroud,"(x18,y26)"
5394,4:00 AM,Ebony Log,Middle La Noscea,"(x23.2,y26.3)"
5545,5:00 AM,Trillium,East Shroud,"(x17,y19)"
6147,5:00 AM,Honey Lemon,Eastern La Noscea,"(x26,y32)"
7733,5:00 AM,Honey Lemon Seeds,Eastern La Noscea,"(x26,y32)"
7594,6:00 AM,Young Cieldalaes Spinach,Lower La Noscea,"(x32,y11)"
8031,6:00 AM,Redolent Log,Central Shroud,"(x30,y19)"
7595,7:00 AM,Blood Orange,Upper La Noscea,"(x28,y25)"
5365,7:00 AM,Bamboo Stick,Upper La Noscea,"(x28,y25)"
7593,8:00 AM,La Noscean Leek,Western La Noscea,"(x34,y28)"
10098,8:00 AM,Mazlaya Greens,Western La Noscea,"(x34,y28)"
8024,8:00 AM,Waterfowl Feather (Rare),Western La Noscea,"(x34,y28)"
7592,9:00 AM,Apricot,Middle La Noscea,"(x19,y16)"
5395,9:00 AM,Spruce Log,Coerthas Central Highlands,"(x27,y12)"
7734,9:00 AM,Prickly Pineapple Seeds,Eastern La Noscea,"(x30.4,y28.4)"
4816,9:00 AM,Prickly Pineapple,Eastern La Noscea,"(x30.4,y28.4)"
9518,10:00 AM,Cypress Log,Central Shroud,"(x24.6,y28.5)"
5547,1:00 PM,Vampire Plant,Coerthas Central Highlands,"(x27,y24)"
4800,1:00 PM,Black Truffle,Eastern Thanalan,"(x12,y16)"
10098,1:00 PM,Mazlaya Greens (Rare),Eastern Thanalan,"(x12,y16)"
6148,1:00 PM,Dzemael Tomato,Eastern La Noscea,"(x18,y26)"
7724,1:00 PM,Dzemael Tomato Seeds (Rare),Eastern La Noscea,"(x18,y26)"
5537,5:00 PM,Thavnairian Mistletoe,Coerthas Central Highlands,"(x8,y13)"
10096,5:00 PM,Rosemary,East Shroud,"(x22,y30)"
6209,9:00 PM,Kidragora,East Shroud,"(x13,y23)"
5546,9:00 PM,Trillium Bulb,East Shroud,"(x13,y23)"
27729,12:00AM/PM,Raw Triplite,Amh Araeng,"(x20,y29)"
27731,12:00AM/PM,Raw Onyx,The Tempest,"(x16,y21)"
32984,2:00AM/PM,Rarefied Reef Rock,The Tempest,"(x33,y21)"
32986,2:00AM/PM,Rarefied Tungsten Ore,The Tempest,"(x33,y21)"
27726,2:00AM/PM,Raw Hematite,Kholusia,"(x33,y23)"
27728,4:00AM/PM,Raw Lazurite,The Rak'tika Greatwood,"(x19,y21)"
32982,4:00AM/PM,Rarefied Raw Petalite,Lakeland,"(x36,y24)"
32980,4:00AM/PM,Rarefied Titancopper Ore,Lakeland,"(x36,y24)"
32981,6:00AM/PM,Rarefied Raw Lazurite,The Rak'tika Greatwood,"(x16,y18)"
27727,6:00AM/PM,Raw Diaspore,Il Mheg,"(x26,y13)"
27730,6:00AM/PM,Raw Petalite,Lakeland,"(x29,y33)"
32985,8:00AM/PM,Rarefied Raw Onyx,The Tempest,"(x25,y4)"
32983,8:00AM/PM,Rarefied Sea Salt,The Tempest,"(x25,y4)"
19907,12:00 AM/PM,Ala Mhigan Salt Crystal,The Lochs,"(x21,y29)"
19970,12:00 AM/PM,Raw Star Spinel,The Ruby Sea,"(x15,y5)"
19968,2:00 AM/PM,Raw Triphane,The Fringes,"(x24,y8)"
19971,4:00 AM/PM,Raw Azurite,Azim Steppe,"(x5,y29)"
19972,6:00 AM/PM,Raw Imperial Jade,Yanxia,"(x29,y9)"
32978,6:00 AM/PM,Rarefied Raw Azurite,Azim Steppe,"(x36,y26)"
32979,6:00 AM/PM,Rarefied Silvergrace Ore,Azim Steppe,"(x36,y26)"
32975,8:00 AM/PM,Rarefied Raw Triphane,The Fringes,"(x30,y13)"
32977,8:00 AM/PM,Rarefied Raw Kyanite,The Fringes,"(x30,y13)"
19973,8:00 AM/PM,Raw Rhodonite,The Peaks,"(x26,y12)"
32976,10:00 AM/PM,Rarefied Raw Star Spinel,The Ruby Sea,"(x21,y34)"
32987,10:00 AM/PM,Rarefied Gyr Abanian Alumen,The Fringes,"(x32,y31)"
12538,12:00 AM/PM,Adamantite Ore,Azys Lla,"(x24,y6)"
32973,2:00 AM/PM,Rarefied Abalathian Spring Water,The Sea of Clouds,"(x21,y12)"
32974,2:00 AM/PM,Rarefied Aurum Regis Sand,The Sea of Clouds,"(x21,y12)"
32971,4:00 AM/PM,Rarefied Chalcocite,The Dravanian Forelands,"(x31,y32)"
32970,4:00 AM/PM,Rarefied Pyrite,The Dravanian Forelands,"(x31,y32)"
32972,4:00 AM/PM,Rarefied Limonite,The Dravanian Forelands,"(x31,y32)"
12901,10:00 AM/PM,Abalathian Rock Salt,The Sea of Clouds,"(x8,y8)"
5159,10:00 AM/PM,Red Quartz,The Sea of Clouds,"(x8,y8)"
5121,1:00 AM,Darksteel Ore,Coerthas Central Highlands,"(x27,y19)"
9519,1:00 AM,Pumice,Eastern La Noscea,"(x17,y26)"
8030,2:00 AM,Antumbral Rock,Eastern Thanalan,"(x26,y19)"
7588,3:00 AM,Ferberite,Northern Thanalan,"(x16,y19)"
5149,3:00 AM,Raw Topaz,Northern Thanalan,"(x16,y19)"
5150,3:00 AM,Raw Iolite,Northern Thanalan,"(x16,y19)"
7589,4:00 AM,Native Gold,Central Thanalan,"(x24,y16)"
5147,4:00 AM,Raw Diamond,Central Thanalan,"(x24,y16)"
5148,4:00 AM,Raw Emerald,Central Thanalan,"(x24,y16)"
5120,4:00 AM,Platinum Ore,Southern Thanalan,"(x19,y8)"
5273,5:00 AM,Gold Sand,Eastern Thanalan,"(x25,y22)"
7610,6:00 AM,Umbral Rock,South Shroud,"(x16,y31)"
5118,9:00 AM,Gold Ore,Eastern Thanalan,"(x28,y22)"
6199,9:00 AM,Coblyn Larva,Eastern Thanalan,"(x28,y22)"
6152,5:00 PM,Volcanic Rock Salt,Eastern La Noscea,"(x21,y32)"
10093,5:00 PM,Virgin Basilisk Egg,Northern Thanalan,"(x24,y26)"
5146,6:00 PM,Raw Ruby,Lower La Noscea,"(x23,y21)"
5151,6:00 PM,Raw Sapphire,Lower La Noscea,"(x23,y21)"
5158,9:00 PM,Astral Rock,Coerthas Central Highlands,"(x23,y23)"
